year,px,py,y,tachid,ekid,city
2003,139.43976,35.73697,12.22587527,5.208844965,0.676943842,HigashiYamato
2003,139.44744,35.73817,12.10071213,5.826913481,1.493767304,HigashiYamato
2003,139.44304,35.73868,12.16002871,5.572157545,1.084623647,HigashiYamato
2003,139.42702,35.73884,12.23563145,4.775925523,1.08234939,HigashiYamato
2003,139.43382,35.7396,12.23076526,5.136154822,0.720750288,HigashiYamato
2003,139.44935,35.74018,12.16002871,6.1343275,1.603892337,HigashiYamato
2003,139.43884,35.7412,12.18586994,5.553354569,0.986102558,HigashiYamato
2003,139.41458,35.74192,12.18075484,4.885713307,0.419048865,HigashiYamato
2003,139.44397,35.74348,12.1388639,6.068980215,1.402410737,HigashiYamato
2003,139.43483,35.74378,12.21106019,5.604054454,1.174904868,HigashiYamato
2003,139.43305,35.7449,12.08953883,5.638571447,1.316086925,HigashiYamato
2003,139.42231,35.74522,12.06681058,5.336456665,0.71886231,HigashiYamato
2003,139.43882,35.74585,12.1281111,6.004820596,1.289622943,HigashiYamato
2003,139.43133,35.74798,11.97035031,5.890453852,1.691047705,HigashiYamato
2003,139.4119,35.74836,12.06104687,5.602973386,0.54392039,HigashiYamato
2003,139.42837,35.74894,11.98915964,5.8923222,1.44436928,HigashiYamato
2003,139.44665,35.75041,12.07254125,6.877092195,0.683488315,HigashiYamato
2003,139.43454,35.75077,12.01370075,6.304347091,1.234001046,HigashiYamato
2003,139.41425,35.75108,12.00150548,5.901576484,0.647391857,HigashiYamato
2003,139.42512,35.75174,11.9511804,6.106661768,1.243760426,HigashiYamato
2003,139.42061,35.75209,11.95761129,6.062010706,0.905688698,HigashiYamato
2003,139.43916,35.75218,12.04355372,6.652022404,0.714457397,HigashiYamato
2003,139.44237,35.75404,12.11724143,6.993562621,0.309493788,HigashiYamato
2003,139.41459,35.7547,11.90496755,6.303875573,1.034964023,HigashiYamato
2003,139.42414,35.75503,11.90496755,6.443685893,1.405823793,HigashiYamato
2003,139.43279,35.75815,11.95761129,7.012764465,1.298908101,HigashiYamato
2003,139.41362,35.75829,11.79810441,6.701960358,1.446751517,HigashiYamato
2004,139.43363,35.60971,12.09514108,10.0358845,1.961915856,Tama
2004,139.42702,35.60976,12.18586994,9.895486593,1.606546193,Tama
2004,139.41933,35.61197,12.24047407,9.560340525,0.994412558,Tama
2004,139.4074,35.61498,12.24047407,9.232442202,0.592015976,Tama
2004,139.44411,35.61717,12.04941884,9.575917349,1.492784353,Tama
2004,139.42756,35.61784,12.18586994,9.019616199,0.834288377,Tama
2004,139.41468,35.61871,12.30138283,8.792288556,0.31791956,Tama
2004,139.43075,35.62363,12.31940133,8.458424218,0.629824528,Tama
2004,139.43864,35.62615,12.1281111,8.431274191,1.232215481,Tama
2004,139.46241,35.628,12.11176197,9.456190817,1.010689694,Tama
2004,139.44328,35.62849,12.1388639,8.374227224,0.666191493,Tama
2004,139.45516,35.62957,12.24529336,8.870758085,0.648447166,Tama
2004,139.46066,35.63068,11.9511804,9.100194317,1.261931106,Tama
2004,139.4338,35.6309,12.22096126,7.76430875,1.129350706,Tama
2004,139.4515,35.63122,12.1388639,8.507310247,0.279269433,Tama
2004,139.43509,35.63162,12.32829028,7.73103476,1.293128393,Tama
2004,139.44408,35.63188,12.25008953,8.066677914,0.619849189,Tama
2004,139.46403,35.63273,11.91170158,9.138366931,1.517111001,Tama
2004,139.42952,35.63435,12.06104687,7.269131641,0.880617322,Tama
2004,139.45043,35.63596,12.19602231,7.992201042,0.68170609,Tama
2004,139.44075,35.63677,12.16002871,7.419796831,1.223010472,Tama
2004,139.43112,35.63707,12.02574909,7.023423579,1.177240351,Tama
2004,139.43652,35.63894,12.02574909,7.01737245,1.691258099,Tama
2004,139.46658,35.63991,11.9511804,8.709569593,2.216571437,Tama
2004,139.44014,35.64023,12.00150548,7.042032643,1.34283032,Tama
2004,139.45549,35.64127,12.01974307,7.810880905,1.435875603,Tama
2004,139.44834,35.64136,12.07823927,7.358975778,1.065241811,Tama
2004,139.4239,35.64306,11.9511804,6.192446725,1.067118658,Tama
2004,139.44243,35.64388,12.07254125,6.790580032,0.863106766,Tama
2004,139.45428,35.64442,12.03765399,7.449781914,1.140872273,Tama
2004,139.38819,35.64451,11.8277362,6.57120729,0.929073583,Hino
2004,139.43094,35.64464,12.11724143,6.214522934,1.434329375,Tama
2004,139.369,35.64555,12.07254125,7.645293772,0.533889391,Hino
2004,139.45113,35.6456,12.21602298,7.137675612,0.791350223,Tama
2004,139.4587,35.6456,12.12269104,7.656303432,1.505637301,Tama
2004,139.38082,35.64615,12.20607265,6.809762259,0.200371744,Hino
2004,139.43469,35.64698,12.06104687,6.113040628,1.249720471,Tama
2004,139.44737,35.64718,12.31940133,6.75599608,0.411945568,Tama
2004,139.37153,35.64732,11.99535161,7.313886021,0.87747032,Hino
2004,139.36592,35.64734,11.89818787,7.726617049,0.51357581,Hino
2004,139.3857,35.6478,12.1388639,6.374444263,0.571484209,Hino
2004,139.42894,35.64784,11.8493977,5.808369927,1.097617972,Hino
2004,139.4482,35.64851,12.41308681,6.686241825,0.331710932,Tama
2004,139.38243,35.6486,12.08390501,6.483889509,0.220205538,Hino
2004,139.44625,35.64907,12.92391244,6.512098173,0.178990609,Tama
2004,139.40799,35.64913,11.94470788,5.452468261,0.486382685,Hino
2004,139.39202,35.64932,11.9381932,5.908138564,0.702292404,Hino
2004,139.44096,35.64947,12.44901882,6.167587643,0.59472438,Tama
2004,139.45209,35.65191,12.32385568,6.647905806,0.673683294,Tama
2004,139.38246,35.65306,12.12269104,6.069848931,0.608693862,Hino
2004,139.44165,35.65371,12.25486281,5.802890944,0.604595079,Tama
2004,139.41159,35.65392,11.92503512,4.88872417,0.158867385,Hino
2004,139.37469,35.65397,12.18586994,6.525237023,0.841398352,Hino
2004,139.36303,35.65408,12.04941884,7.44074508,1.275871646,Hino
2004,139.4432,35.65437,12.29682701,5.836084845,0.526102593,Tama
2004,139.38038,35.65442,12.2010601,6.084415427,0.489482933,Hino
2004,139.39814,35.6551,11.94470788,5.057910941,0.572255654,Hino
2004,139.39169,35.65605,12.24529336,5.25263562,0.158216166,Hino
2004,139.42258,35.65627,11.94470788,4.725869983,0.928057236,Hino
2004,139.40679,35.65639,12.02574909,4.673288794,0.451047652,Hino
2004,139.42679,35.65681,12.12269104,4.786407992,0.455546073,Hino
2004,139.41634,35.65709,11.99535161,4.540948,0.595198601,Hino
2004,139.43359,35.65784,12.18586994,4.964038548,0.309927934,Hino
2004,139.43101,35.65801,12.58792789,4.825886077,0.058869086,Hino
2004,139.39728,35.65984,12.1388639,4.603850011,0.673308148,Hino
2004,139.36708,35.65986,12.19095901,6.683283049,1.15009398,Hino
2004,139.42729,35.66033,12.25008953,4.435196608,0.501759246,Hino
2004,139.41319,35.66118,13.12236338,4.078292298,0.11658379,Hino
2004,139.37987,35.66123,12.92391244,5.542814311,0.276559917,Hino
2004,139.38808,35.66161,12.19602231,4.934980697,0.870410438,Hino
2004,139.41222,35.66202,13.03462446,3.987654222,0.19544363,Hino
2004,139.3758,35.66297,12.33710091,5.725000127,0.697294158,Hino
2004,139.39014,35.66496,12.24529336,4.499335538,1.095791219,Hino
2004,139.42009,35.66544,12.10625231,3.672520179,0.686212303,Hino
2004,139.4051,35.66762,11.97665948,3.49692487,1.175910083,Hino
2004,139.37742,35.66859,12.28303369,5.181498603,1.140320128,Hino
2004,139.38659,35.66871,12.34583459,4.426616371,1.293153997,Hino
2004,139.4113,35.66887,12.14950229,3.234730122,0.833445688,Hino
2004,139.38568,35.67143,12.26904744,4.283079152,1.262090293,Hino
2004,139.37442,35.67324,12.08390501,5.153181749,1.269621056,Hino
2004,139.39344,35.67349,12.31492705,3.525634027,0.649683925,Hino
2004,139.40329,35.67395,12.09514108,2.902065889,0.794704279,Hino
2004,139.38403,35.6764,12.06681058,4.071615762,1.13775978,Hino
2004,139.39707,35.67664,12.31940133,3.000175768,0.467006415,Hino
2004,139.4083,35.67726,12.21106019,2.37042942,0.143475239,Hino
2004,139.41365,35.67847,12.1281111,2.158742655,0.533903863,Hino
2004,139.38702,35.67862,12.11724143,3.658535202,0.762084328,Hino
2004,139.3795,35.67897,12.16002871,4.343140209,1.390477288,Hino
2004,139.40139,35.67907,12.20607265,2.501423933,0.833795231,Hino
2004,139.39279,35.6791,12.86099861,3.125448795,0.117975283,Hino
2004,139.40979,35.67996,12.29225034,2.021246144,0.235369479,Hino
2004,139.37986,35.68166,11.98292909,4.171090577,1.298979346,Hino
2004,139.39217,35.68289,12.18075484,2.917836472,0.439581745,Hino
2004,139.3987,35.68385,12.26904744,2.285711756,0.741155151,Hino
2004,139.41737,35.68862,12.40901349,1.107124252,0.901817006,Tachi
2004,139.41401,35.68876,12.44508955,1.016958844,0.533101249,Tachi
2004,139.39375,35.69061,12.11176197,2.362253917,1.25766089,Tachi
2004,139.42746,35.69065,12.44114477,1.723400636,0.481787417,Tachi
2004,139.40508,35.69071,12.43320822,1.2510272,0.486702172,Tachi
2004,139.41362,35.69172,12.60819885,0.688151324,0.504731477,Tachi
2004,139.41634,35.69206,12.59133505,0.710552507,0.633249829,Tachi
2004,139.40322,35.69287,12.46843691,1.29491466,0.755717967,Tachi
2004,139.40986,35.69363,12.64754819,0.641113193,0.401061861,Tachi
2004,139.41174,35.69402,13.07736601,0.486135962,0.294713899,Tachi
2004,139.42115,35.69431,12.57418197,0.914864163,0.341143032,Tachi
2004,139.42829,35.69469,12.45293272,1.654333991,0.496834472,Tachi
2004,139.38999,35.69632,12.15477935,2.642699738,0.913259537,Tachi
2004,139.397,35.69794,12.31492705,1.858697241,0.656966446,Tachi
2004,139.40309,35.69938,12.41714362,1.193670645,1.058399002,Tachi
2004,139.40427,35.70003,12.63785506,1.077449404,0.938019218,Tachi
2004,139.41826,35.70108,12.52088339,0.611830855,0.656387585,Tachi
2004,139.42504,35.70302,12.44114477,1.376074652,1.086427023,Tachi
2004,139.42044,35.70723,12.48370438,1.273483482,0.845824415,Tachi
2004,139.42972,35.70953,12.26904744,2.193258348,1.49189825,Tachi
2004,139.42324,35.71209,12.47990931,1.894338137,0.715784326,Tachi
2004,139.42545,35.71222,12.32385568,2.052512039,0.94510359,Tachi
2004,139.4238,35.71392,12.37581542,2.097677162,0.687807511,Tachi
2004,139.44275,35.71767,12.23563145,3.896306556,1.937060441,Tachi
2004,139.4276,35.71816,12.29225034,2.723666024,0.878196123,Tachi
2004,139.42044,35.71926,12.33710091,2.483745954,0.111968483,Tachi
2004,139.44556,35.72172,12.19095901,4.410557011,1.720676501,Tachi
2004,139.38087,35.72201,12.01370075,4.523735767,1.277306554,Tachi
2004,139.40358,35.72212,12.09514108,2.914686585,1.399967275,Tachi
2004,139.42283,35.72279,12.29682701,2.939390561,0.526131536,Tachi
2004,139.39037,35.72309,11.99535161,3.813258934,0.708744481,Tachi
2004,139.43062,35.72364,12.25961341,3.415551406,1.171548585,Tachi
2004,139.41839,35.72418,12.55672952,2.960526409,0.12392531,Tachi
2004,139.41405,35.72437,12.26904744,2.936901219,0.473898204,Tachi
2004,139.38087,35.72479,12.00762171,4.713086187,1.197638534,Tachi
2004,139.38715,35.72656,12.18075484,4.338474099,0.699467115,Tachi
2004,139.4025,35.72707,12.06104687,3.468120949,1.078940787,Tachi
2004,139.37356,35.7276,12.08390501,5.54479588,0.40206151,Tachi
2004,139.38946,35.72802,12.1388639,4.293898296,0.404331315,Tachi
2004,139.4121,35.72901,12.25486281,3.456138707,0.709482529,Tachi
2004,139.42085,35.72945,12.27839331,3.588199756,0.436425837,Tachi
2004,139.40384,35.73326,12.09514108,4.073982624,1.302317817,Tachi
2004,139.36231,35.73385,11.88448902,6.964329918,1.220284258,Tachi
2004,139.43467,35.73462,12.64754819,4.690082173,0.1576707,HigashiYamato
2004,139.43296,35.73516,12.25486281,4.652671108,0.309723106,HigashiYamato
2004,139.44645,35.73537,12.11724143,5.520064478,1.301313715,HigashiYamato
2004,139.43976,35.73697,12.2010601,5.208844965,0.676943842,HigashiYamato
2004,139.44744,35.73817,12.05524976,5.826913481,1.493767304,HigashiYamato
2004,139.44304,35.73868,12.12269104,5.572157545,1.084623647,HigashiYamato
2004,139.42702,35.73884,12.21602298,4.775925523,1.08234939,HigashiYamato
2004,139.43382,35.7396,12.21106019,5.136154822,0.720750288,HigashiYamato
2004,139.44935,35.74018,12.10625231,6.1343275,1.603892337,HigashiYamato
2004,139.43884,35.7412,12.14950229,5.553354569,0.986102558,HigashiYamato
2004,139.41458,35.74192,12.14419724,4.885713307,0.419048865,HigashiYamato
2004,139.44397,35.74348,12.10071213,6.068980215,1.402410737,HigashiYamato
2004,139.43483,35.74378,12.17044547,5.604054454,1.174904868,HigashiYamato
2004,139.43305,35.7449,12.06681058,5.638571447,1.316086925,HigashiYamato
2004,139.42231,35.74522,12.04355372,5.336456665,0.71886231,HigashiYamato
2004,139.43882,35.74585,12.07254125,6.004820596,1.289622943,HigashiYamato
2004,139.43133,35.74798,11.92503512,5.890453852,1.691047705,HigashiYamato
2004,139.4119,35.74836,12.01974307,5.602973386,0.54392039,HigashiYamato
2004,139.42837,35.74894,11.9381932,5.8923222,1.44436928,HigashiYamato
2004,139.44665,35.75041,12.02574909,6.877092195,0.683488315,HigashiYamato
2004,139.43454,35.75077,11.96400108,6.304347091,1.234001046,HigashiYamato
2004,139.41425,35.75108,11.94470788,5.901576484,0.647391857,HigashiYamato
2004,139.42512,35.75174,11.90496755,6.106661768,1.243760426,HigashiYamato
2004,139.42061,35.75209,11.91170158,6.062010706,0.905688698,HigashiYamato
2004,139.43916,35.75218,11.99535161,6.652022404,0.714457397,HigashiYamato
2004,139.44237,35.75404,12.07823927,6.993562621,0.309493788,HigashiYamato
2004,139.41459,35.7547,11.84222921,6.303875573,1.034964023,HigashiYamato
2004,139.42414,35.75503,11.8493977,6.443685893,1.405823793,HigashiYamato
2004,139.43279,35.75815,11.90496755,7.012764465,1.298908101,HigashiYamato
2004,139.41362,35.75829,11.71993963,6.701960358,1.446751517,HigashiYamato
2005,139.43363,35.60971,12.05524976,10.0358845,1.961915856,Tama
2005,139.42702,35.60976,12.15477935,9.895486593,1.606546193,Tama
2005,139.41933,35.61197,12.22096126,9.560340525,0.994412558,Tama
2005,139.4074,35.61498,12.19602231,9.232442202,0.592015976,Tama
2005,139.44411,35.61717,12.00150548,9.575917349,1.492784353,Tama
2005,139.42756,35.61784,12.15477935,9.019616199,0.834288377,Tama
2005,139.41468,35.61871,12.25486281,8.792288556,0.31791956,Tama
2005,139.43075,35.62363,12.28765263,8.458424218,0.629824528,Tama
2005,139.43864,35.62615,12.08953883,8.431274191,1.232215481,Tama
2005,139.46241,35.628,12.05524976,9.456190817,1.010689694,Tama
2005,139.44328,35.62849,12.11724143,8.374227224,0.666191493,Tama
2005,139.45516,35.62957,12.2010601,8.870758085,0.648447166,Tama
2005,139.46066,35.63068,11.90496755,9.100194317,1.261931106,Tama
2005,139.4338,35.6309,12.17561344,7.76430875,1.129350706,Tama
2005,139.4515,35.63122,12.09514108,8.507310247,0.279269433,Tama
2005,139.43509,35.63162,12.28765263,7.73103476,1.293128393,Tama
2005,139.44408,35.63188,12.23076526,8.066677914,0.619849189,Tama
2005,139.46403,35.63273,11.87756858,9.138366931,1.517111001,Tama
2005,139.42952,35.63435,12.01974307,7.269131641,0.880617322,Tama
2005,139.45043,35.63596,12.17561344,7.992201042,0.68170609,Tama
2005,139.44075,35.63677,12.11176197,7.419796831,1.223010472,Tama
2005,139.43112,35.63707,11.98292909,7.023423579,1.177240351,Tama
2005,139.43652,35.63894,12.00762171,7.01737245,1.691258099,Tama
2005,139.46658,35.63991,11.92503512,8.709569593,2.216571437,Tama
2005,139.44014,35.64023,11.97035031,7.042032643,1.34283032,Tama
2005,139.45549,35.64127,11.98292909,7.810880905,1.435875603,Tama
2005,139.4239,35.64306,11.92503512,6.192446725,1.067118658,Tama
2005,139.44243,35.64388,12.05524976,6.790580032,0.863106766,Tama
2005,139.45428,35.64442,12.01974307,7.449781914,1.140872273,Tama
2005,139.38819,35.64451,11.75194237,6.57120729,0.929073583,Hino
2005,139.43094,35.64464,12.06681058,6.214522934,1.434329375,Tama
2005,139.369,35.64555,11.99535161,7.645293772,0.533889391,Hino
2005,139.45113,35.6456,12.17044547,7.137675612,0.791350223,Tama
2005,139.4587,35.6456,12.08390501,7.656303432,1.505637301,Tama
2005,139.38082,35.64615,12.14950229,6.809762259,0.200371744,Hino
2005,139.43469,35.64698,12.01370075,6.113040628,1.249720471,Tama
2005,139.44737,35.64718,12.30591798,6.75599608,0.411945568,Tama
2005,139.37153,35.64732,11.92503512,7.313886021,0.87747032,Hino
2005,139.36592,35.64734,11.81303006,7.726617049,0.51357581,Hino
2005,139.3857,35.6478,12.06681058,6.374444263,0.571484209,Hino
2005,139.42894,35.64784,11.80559508,5.808369927,1.097617972,Hino
2005,139.4482,35.64851,12.39255221,6.686241825,0.331710932,Tama
2005,139.38243,35.6486,12.01370075,6.483889509,0.220205538,Hino
2005,139.44625,35.64907,12.87390202,6.512098173,0.178990609,Tama
2005,139.40799,35.64913,11.86358234,5.452468261,0.486382685,Hino
2005,139.39202,35.64932,11.87059991,5.908138564,0.702292404,Hino
2005,139.44096,35.64947,12.44114477,6.167587643,0.59472438,Tama
2005,139.44857,35.64966,13.28787782,6.606031165,0.291421069,Tama
2005,139.45209,35.65191,12.31492705,6.647905806,0.673683294,Tama
2005,139.38246,35.65306,12.07254125,6.069848931,0.608693862,Hino
2005,139.44165,35.65371,12.24047407,5.802890944,0.604595079,Tama
2005,139.41221,35.65376,11.88448902,4.903795337,0.223474991,Hino
2005,139.37469,35.65397,12.1388639,6.525237023,0.841398352,Hino
2005,139.36303,35.65408,11.97665948,7.44074508,1.275871646,Hino
2005,139.4432,35.65437,12.25961341,5.836084845,0.526102593,Tama
2005,139.38038,35.65442,12.15477935,6.084415427,0.489482933,Hino
2005,139.39814,35.6551,11.87756858,5.057910941,0.572255654,Hino
2005,139.39169,35.65605,12.19095901,5.25263562,0.158216166,Hino
2005,139.42258,35.65627,11.85651517,4.725869983,0.928057236,Hino
2005,139.40679,35.65639,11.92503512,4.673288794,0.451047652,Hino
2005,139.42679,35.65681,12.06681058,4.786407992,0.455546073,Hino
2005,139.41634,35.65709,11.9381932,4.540948,0.595198601,Hino
2005,139.43359,35.65784,12.11724143,4.964038548,0.309927934,Hino
2005,139.43101,35.65801,12.53896706,4.825886077,0.058869086,Hino
2005,139.39728,35.65984,12.06104687,4.603850011,0.673308148,Hino
2005,139.36708,35.65986,12.14419724,6.683283049,1.15009398,Hino
2005,139.42729,35.66033,12.19095901,4.435196608,0.501759246,Hino
2005,139.41319,35.66118,13.09190417,4.078292298,0.11658379,Hino
2005,139.37987,35.66123,12.88664104,5.542814311,0.276559917,Hino
2005,139.38808,35.66161,12.11176197,4.934980697,0.870410438,Hino
2005,139.41222,35.66202,13.00132505,3.987654222,0.19544363,Hino
2005,139.3758,35.66297,12.30591798,5.725000127,0.697294158,Hino
2005,139.39014,35.66496,12.17561344,4.499335538,1.095791219,Hino
2005,139.42009,35.66544,12.03765399,3.672520179,0.686212303,Hino
2005,139.4051,35.66762,11.89818787,3.49692487,1.175910083,Hino
2005,139.37742,35.66859,12.24529336,5.181498603,1.140320128,Hino
2005,139.38659,35.66871,12.30138283,4.426616371,1.293153997,Hino
2005,139.4113,35.66887,12.07254125,3.234730122,0.833445688,Hino
2005,139.38568,35.67143,12.19602231,4.283079152,1.262090293,Hino
2005,139.37442,35.67324,12.01974307,5.153181749,1.269621056,Hino
2005,139.39344,35.67349,12.27373129,3.525634027,0.649683925,Hino
2005,139.40329,35.67395,12.02574909,2.902065889,0.794704279,Hino
2005,139.38403,35.6764,11.99535161,4.071615762,1.13775978,Hino
2005,139.39707,35.67664,12.28303369,3.000175768,0.467006415,Hino
2005,139.41365,35.67847,12.07254125,2.158742655,0.533903863,Hino
2005,139.38702,35.67862,12.04941884,3.658535202,0.762084328,Hino
2005,139.3795,35.67897,12.07254125,4.343140209,1.390477288,Hino
2005,139.40139,35.67907,12.14950229,2.501423933,0.833795231,Hino
2005,139.39279,35.6791,12.79939949,3.125448795,0.117975283,Hino
2005,139.40979,35.67996,12.19602231,2.021246144,0.235369479,Hino
2005,139.37986,35.68166,11.91170158,4.171090577,1.298979346,Hino
2005,139.39217,35.68289,12.11724143,2.917836472,0.439581745,Hino
2005,139.3987,35.68385,12.19602231,2.285711756,0.741155151,Hino
2005,139.41737,35.68862,12.36307639,1.107124252,0.901817006,Tachi
2005,139.41401,35.68876,12.41714362,1.016958844,0.533101249,Tachi
2005,139.39375,35.69061,12.06681058,2.362253917,1.25766089,Tachi
2005,139.42746,35.69065,12.4049235,1.723400636,0.481787417,Tachi
2005,139.40508,35.69071,12.4049235,1.2510272,0.486702172,Tachi
2005,139.41362,35.69172,12.5776362,0.688151324,0.504731477,Tachi
2005,139.41634,35.69206,12.56374709,0.710552507,0.633249829,Tachi
2005,139.40322,35.69287,12.43718437,1.29491466,0.755717967,Tachi
2005,139.40986,35.69363,12.62478298,0.641113193,0.401061861,Tachi
2005,139.41174,35.69402,13.04548233,0.486135962,0.294713899,Tachi
2005,139.42115,35.69431,12.55320218,0.914864163,0.341143032,Tachi
2005,139.42829,35.69469,12.41714362,1.654333991,0.496834472,Tachi
2005,139.38999,35.69632,12.11724143,2.642699738,0.913259537,Tachi
2005,139.397,35.69794,12.28303369,1.858697241,0.656966446,Tachi
2005,139.40309,35.69938,12.3883942,1.193670645,1.058399002,Tachi
2005,139.40427,35.70003,12.60148742,1.077449404,0.938019218,Tachi
2005,139.41826,35.70108,12.47609978,0.611830855,0.656387585,Tachi
2005,139.42504,35.70302,12.40081672,1.376074652,1.086427023,Tachi
2005,139.42044,35.70723,12.46071486,1.273483482,0.845824415,Tachi
2005,139.42972,35.70953,12.22096126,2.193258348,1.49189825,Tachi
2005,139.42324,35.71209,12.43320822,1.894338137,0.715784326,Tachi
2005,139.42545,35.71222,12.27373129,2.052512039,0.94510359,Tachi
2005,139.4238,35.71392,12.34147728,2.097677162,0.687807511,Tachi
2005,139.44275,35.71767,12.18586994,3.896306556,1.937060441,Tachi
2005,139.4276,35.71816,12.24047407,2.723666024,0.878196123,Tachi
2005,139.42044,35.71926,12.27839331,2.483745954,0.111968483,Tachi
2005,139.44556,35.72172,12.13350195,4.410557011,1.720676501,Tachi
2005,139.38087,35.72201,11.94470788,4.523735767,1.277306554,Tachi
2005,139.40358,35.72212,12.03765399,2.914686585,1.399967275,Tachi
2005,139.42283,35.72279,12.24047407,2.939390561,0.526131536,Tachi
2005,139.39037,35.72309,11.92503512,3.813258934,0.708744481,Tachi
2005,139.43062,35.72364,12.19095901,3.415551406,1.171548585,Tachi
2005,139.41839,35.72418,12.53896706,2.960526409,0.12392531,Tachi
2005,139.41405,35.72437,12.19602231,2.936901219,0.473898204,Tachi
2005,139.38087,35.72479,11.94470788,4.713086187,1.197638534,Tachi
2005,139.38715,35.72656,12.11176197,4.338474099,0.699467115,Tachi
2005,139.4025,35.72707,11.99535161,3.468120949,1.078940787,Tachi
2005,139.37356,35.7276,12.02574909,5.54479588,0.40206151,Tachi
2005,139.38946,35.72802,12.07823927,4.293898296,0.404331315,Tachi
2005,139.4121,35.72901,12.22587527,3.456138707,0.709482529,Tachi
2005,139.42085,35.72945,12.22096126,3.588199756,0.436425837,Tachi
2005,139.40384,35.73326,12.04355372,4.073982624,1.302317817,Tachi
2005,139.36231,35.73385,11.8277362,6.964329918,1.220284258,Tachi
2005,139.43467,35.73462,12.61486554,4.690082173,0.1576707,HigashiYamato
2005,139.43296,35.73516,12.24529336,4.652671108,0.309723106,HigashiYamato
2005,139.44645,35.73537,12.09514108,5.520064478,1.301313715,HigashiYamato
2005,139.43976,35.73697,12.18075484,5.208844965,0.676943842,HigashiYamato
2005,139.44744,35.73817,12.01974307,5.826913481,1.493767304,HigashiYamato
2005,139.44304,35.73868,12.09514108,5.572157545,1.084623647,HigashiYamato
2005,139.42702,35.73884,12.2010601,4.775925523,1.08234939,HigashiYamato
2005,139.43382,35.7396,12.19602231,5.136154822,0.720750288,HigashiYamato
2005,139.44935,35.74018,12.07823927,6.1343275,1.603892337,HigashiYamato
2005,139.43884,35.7412,12.1281111,5.553354569,0.986102558,HigashiYamato
2005,139.41458,35.74192,12.11176197,4.885713307,0.419048865,HigashiYamato
2005,139.44397,35.74348,12.07254125,6.068980215,1.402410737,HigashiYamato
2005,139.43483,35.74378,12.14950229,5.604054454,1.174904868,HigashiYamato
2005,139.43305,35.7449,12.04355372,5.638571447,1.316086925,HigashiYamato
2005,139.42231,35.74522,12.03171926,5.336456665,0.71886231,HigashiYamato
2005,139.43882,35.74585,12.03765399,6.004820596,1.289622943,HigashiYamato
2005,139.43133,35.74798,11.89818787,5.890453852,1.691047705,HigashiYamato
2005,139.4119,35.74836,11.98292909,5.602973386,0.54392039,HigashiYamato
2005,139.44665,35.75041,11.98915964,6.877092195,0.683488315,HigashiYamato
2005,139.43454,35.75077,11.92503512,6.304347091,1.234001046,HigashiYamato
2005,139.41425,35.75108,11.90496755,5.901576484,0.647391857,HigashiYamato
2005,139.42512,35.75174,11.87059991,6.106661768,1.243760426,HigashiYamato
2005,139.42061,35.75209,11.87059991,6.062010706,0.905688698,HigashiYamato
2005,139.43916,35.75218,11.95761129,6.652022404,0.714457397,HigashiYamato
2005,139.44237,35.75404,12.04941884,6.993562621,0.309493788,HigashiYamato
2005,139.41459,35.7547,11.79810441,6.303875573,1.034964023,HigashiYamato
2005,139.42414,35.75503,11.80559508,6.443685893,1.405823793,HigashiYamato
2005,139.41173,35.75642,11.90496755,6.498130862,1.300878456,HigashiYamato
2005,139.43279,35.75815,11.86358234,7.012764465,1.298908101,HigashiYamato
2005,139.41362,35.75829,11.66134547,6.701960358,1.446751517,HigashiYamato
2006,139.43363,35.60971,12.04355372,10.0358845,1.961915856,Tama
2006,139.42702,35.60976,12.1281111,9.895486593,1.606546193,Tama
2006,139.41933,35.61197,12.21602298,9.560340525,0.994412558,Tama
2006,139.4074,35.61498,12.19602231,9.232442202,0.592015976,Tama
2006,139.44411,35.61717,11.97665948,9.575917349,1.492784353,Tama
2006,139.42756,35.61784,12.14950229,9.019616199,0.834288377,Tama
2006,139.41468,35.61871,12.25486281,8.792288556,0.31791956,Tama
2006,139.43075,35.62363,12.28765263,8.458424218,0.629824528,Tama
2006,139.43864,35.62615,12.08390501,8.431274191,1.232215481,Tama
2006,139.46241,35.628,12.03171926,9.456190817,1.010689694,Tama
2006,139.44328,35.62849,12.11176197,8.374227224,0.666191493,Tama
2006,139.45516,35.62957,12.18586994,8.870758085,0.648447166,Tama
2006,139.46066,35.63068,11.87756858,9.100194317,1.261931106,Tama
2006,139.4338,35.6309,12.16525065,7.76430875,1.129350706,Tama
2006,139.4515,35.63122,12.09514108,8.507310247,0.279269433,Tama
2006,139.43509,35.63162,12.28303369,7.73103476,1.293128393,Tama
2006,139.44408,35.63188,12.22587527,8.066677914,0.619849189,Tama
2006,139.46403,35.63273,11.85651517,9.138366931,1.517111001,Tama
2006,139.42952,35.63435,12.00762171,7.269131641,0.880617322,Tama
2006,139.45043,35.63596,12.17044547,7.992201042,0.68170609,Tama
2006,139.44075,35.63677,12.08953883,7.419796831,1.223010472,Tama
2006,139.43112,35.63707,11.97665948,7.023423579,1.177240351,Tama
2006,139.43652,35.63894,12.00150548,7.01737245,1.691258099,Tama
2006,139.46658,35.63991,11.91839057,8.709569593,2.216571437,Tama
2006,139.44014,35.64023,11.95761129,7.042032643,1.34283032,Tama
2006,139.45549,35.64127,11.96400108,7.810880905,1.435875603,Tama
2006,139.4239,35.64306,11.91839057,6.192446725,1.067118658,Tama
